word,definition
Define the word: accolent,neighbouring
Define the word: accollé,of a heraldic animal entwined or collared
Define the word: accosted,in heraldry two figures placed side by side
Define the word: accoucheur,male midwife
Define the word: accoucheuse,female midwife
Define the word: accourage,to encourage
Define the word: accourt,to entertain
Define the word: accoy,to subdue; to pacify; to soothe
Define the word: accrementition,increase or growth by adding similar material
Define the word: accretion,accumulation; addition of parts to form a whole
Define the word: accubation,reclining as on a couch
Define the word: accubitum,crescent-shaped couch
Define the word: accusative,indicating direct object of a verb
Define the word: acedia,listlessness; sloth
Define the word: aceldama,site or scene of violence or bloodshed
Define the word: aceology,therapeutics
Define the word: acequia,irrigation ditch
Define the word: acerate,of like or resembling a needle
Define the word: acerbate,to embitter; to irritate
Define the word: acerous,lacking horns or antennae
Define the word: acersecomic,one whose hair has never been cut
Define the word: acervate,heaped; clustered
Define the word: acervuline,like or in small mounds or heaps
Define the word: acescence,becoming sour; souring; turning of milk
Define the word: acetabulum,small anatomical cup or hollow such as a sucker
Define the word: acetarious,referring to plants that are used in salads
Define the word: acetimeter,instrument for measuring strength of vinegar
Define the word: achaenocarp,any dry indehiscent fruit
Define the word: acharné,furious or desperate (of a battle)
Define the word: achene,small one-seeded fruit or naked seed of plant
Define the word: achloropsia,colour-blindness with respect to green
Define the word: achor,eruption or scab on the head
Define the word: achromatopsia,colour-blindness
Define the word: achroous,colourless
Define the word: acicular,needle-shaped
Define the word: acidaemia,undue acidity of blood
Define the word: acidimeter,instrument for measuring concentration of acids
Define the word: acidulous,sharp or bitter-tasting
Define the word: acierate,to turn into steel
Define the word: acinaceous,full of kernels
Define the word: acinaciform,scimitar-shaped
Define the word: aciniform,shaped like a berry
Define the word: acinus,berry which grows in clusters
Define the word: acipenser,sturgeon
Define the word: ackamarackus,pretentious or deceptive nonsense
Define the word: aclinic,having no inclination or magnetic dip
Define the word: acock,defiantly
Define the word: acoemeti,ancient monastic order who maintained eternal choir service
Define the word: acology,study of medical remedies
Define the word: acolous,limbless
Define the word: acolouthic,of like or pertaining to an after-image or other after-sensation
Define the word: acopic,curing or relieving fatigue
Define the word: acoria,pathologically great appetite
Define the word: acosmism,disbelief in existence of eternal universe distinct from God
Define the word: acouasm,ringing noise in head
Define the word: acquest,object which is acquired
Define the word: acracy,government by none; anarchy
Define the word: acratia,impotence
Define the word: acre-breadth,old unit of length of 22 yards
Define the word: acritochromacy,colour-blindness
Define the word: acroamatic,esoteric
Define the word: acrocephalous,having a pointed or peaked skull
Define the word: acrography,the art of making wood blocks in relief
Define the word: acrolith,wooden statue with stone extremities
Define the word: acrologic,of like or pertaining to initials
Define the word: acromegaly,glandular disorder causing gigantism of extremities
Define the word: acronical,occurring at nightfall or sunset
Define the word: acronym,word formed from initial letters of another word
Define the word: acronyx,ingrown nail
Define the word: acropathy,disease or illness of the extremities
Define the word: acrophobia,fear of heights
Define the word: acrophonic,using a symbol for the initial sound of a thing
Define the word: acropodium,pedestal upon which a statue rests
Define the word: acroscopic,looking or moving towards the apex
Define the word: acroteleutic,phrase or words at the end of a psalm
Define the word: acroterion,pedestal or ornament at the angle of a pediment
Define the word: acrotism,absence of pulsing
Define the word: actinism,action of solar radiation causing chemical change
Define the word: actinograph,instrument used to calculate time of photographic exposure
Define the word: actinometer,instrument for measuring incident radiation
Define the word: actinotherapy,use of ultraviolet rays as medical therapy
Define the word: acton,stuffed jacket worn under armour; haqueton
Define the word: actuate,communicate motion to; cause
Define the word: aculeate,prickly; pointed; stinging; a stinging insect
Define the word: aculeiform,shaped like a thorn
Define the word: acultomancy,divination using needles
Define the word: acuminate,tapered; pointed; to sharpen
Define the word: acutiator,sharpener of weapons
Define the word: acutorsion,twisting artery with needle to stop bleeding
Define the word: acyanopsia,colour-blindness with respect to blue
Define the word: acyesis,female sterility
Define the word: acyrology,incorrect diction or pronunciation
Define the word: adactylous,lacking fingers or claws
Define the word: adamantine,unbreakable; impenetrable
Define the word: adamitism,nakedness for religious reasons
Define the word: adaxial,next to or towards the axis
Define the word: addax,large African antelope
Define the word: addax,spiral-horned antelope dwelling in the Sahara desert
Define the word: additament,thing added or appended; heraldic ornament
Define the word: addititious,of pertaining to or resulting from addition
Define the word: addle,putrid; barren; muddled
Define the word: addorsed,turned back to back in heraldry
Define the word: adduce,cite as proof or instance
Define the word: adeciduate,evergreen; coniferous
Define the word: adeem,to cancel a bequest by destruction of the object
Define the word: adelaster,provisional name for a plant whose flowers are unknown
Define the word: adelphogamy,sharing of a wife by two or more brothers
Define the word: ademption,revocation of donation by donor
Define the word: adenalgia,painful swelling of a gland
Define the word: adenia,glandular swelling
Define the word: adeniform,shaped like a gland
Define the word: adenography,descriptive work on the glandular system
Define the word: adenoid,of like or pertaining to or like a gland
Define the word: adenology,study of glands
Define the word: adenotomy,removal or excision of gland
Define the word: adespota,anonymous works
Define the word: adessive,indicating place where or proximity to
Define the word: adevism,denial of gods of mythology and legend
Define the word: adharma,unrighteousness
Define the word: adhibit,to attach; to admit; to administer
Define the word: adhocracy,government in an unstructured fashion; an unstructured organization
Define the word: adiabatic,without transference of heat
Define the word: adiaphoresis,absence of perspiration; inability to perspire
Define the word: adiaphorism,doctrine of theological indifference or latitudinarianism
Define the word: adiaphoron,tenet or belief on which a theological system is indifferent
Define the word: adiapneustia,defective perspiration
Define the word: adiathermancy,impermeability to radiant energy
Define the word: adipescent,becoming fat or fatty
Define the word: adipic,of like or pertaining to fatty substances
Define the word: adipocere,fatty substance occurring in corpses left in moist areas
Define the word: adipsia,absence or lack of thirst
Define the word: adit,opening or passage into a mine
Define the word: adjudge,to decide; to award
Define the word: adjutage,nozzle
Define the word: adjutant,enormous Indian stork
Define the word: adjutor,helper; assistant
Define the word: adjuvant,substance added to make vaccine more effective
Define the word: admanuensis,one who takes an oath on a religious book
Define the word: admaxillary,connected to or near the jaw
Define the word: admeasurement,the act of measuring or apportioning
Define the word: adminicle,that which supports or aids especially evidence
Define the word: adnascent,growing on some other thing
Define the word: adnominal,indicating adjective used as a noun
Define the word: adnomination,punning
Define the word: adnoun,adjective serving or used as a noun
Define the word: adonise,to adorn oneself
Define the word: adoptionism,belief that Christ was the adopted and not natural son of God
Define the word: adoral,near the mouth
Define the word: adosculation,impregnation by contact alone or by wind
Define the word: adown,in a descending direction
Define the word: adoxography,good writing on a trivial subject
Define the word: adoxy,beliefs that are neither orthodox nor heterodox
Define the word: adpress,to press together
Define the word: adrogation,adoption of a boy or girl before adolescence
Define the word: adscititious,added; additional
Define the word: adscript,attached or feudally bound to the soil or earth
Define the word: adsorb,to attract and stick to the surface
Define the word: adumbrate,indicate faintly; foreshadow
Define the word: adunc,hooked
Define the word: aduncate,shaped like a hook or crook
Define the word: adust,burnt; scorched
Define the word: advection,horizontal movement of air
Define the word: advehent,bringing inwards
Define the word: advenient,due to outside causes
Define the word: adventitious,accidental; casual
Define the word: adventive,a thing or person coming from outside
Define the word: adversaria,miscellaneous notes; commonplace books
Define the word: adversative,word or phrase expressing opposition
Define the word: advert,refer to in speech or writing
Define the word: advertorial,advertisement presented as if it were editorial material
Define the word: advesperate,darken; become late
Define the word: advocaat,liqueur containing rum and raw eggs
Define the word: advowson,right of presentation to church living
Define the word: adynamia,helplessness; lack of strength
Define the word: adynaton,rhetorical use of a nearly impossible situation for emphasis
Define the word: adytum,sacred part of a temple or church; church chancel
Define the word: adzebill,prehistoric flightless bird of New Zealand
Define the word: aedile,magistrate in charge of games markets or buildings
Define the word: aedoeology,science of generative organs
Define the word: aegilops,stye in inner corner of eye
Define the word: aegis,protection; support
Define the word: aegrotat,medical certificate of illness excusing student's sickness
Define the word: aeneous,shining bronze colour
Define the word: aeolian,giving forth a tone as if produced by the wind
Define the word: aeolipyle,hollow ball that turns through steam escaping through valves
Define the word: aeolistic,long-winded
Define the word: aeolotropy,variation in physical properties on basis of position
Define the word: aeonian,lasting for an immeasurably long period of time
Define the word: aepyornis,gigantic flightless bird of Madagascar
Define the word: aerenchyma,respiratory tissue
Define the word: aeriform,of the form or shape of gas; gaseous
Define the word: aerious,of the nature of air; airy
Define the word: aerobe,organism requiring oxygen to survive
Define the word: aerobiology,study of airborne organisms
Define the word: aerodonetics,science or study of gliding
Define the word: aerogenesis,forming or generating gas or air
Define the word: aerography,descriptive work on the atmosphere
Define the word: aerolite,meteorite
Define the word: aerolith,stone that falls from the sky; meteorite
Define the word: aerolithology,study of aerolites; meteorites
Define the word: aerology,study of the atmosphere
Define the word: aeromancy,divination by means of the weather
Define the word: aerometer,instrument for measuring weight or density of gas
Define the word: aerophane,thin crinkled semi-transparent fabric
Define the word: aerophilately,collecting of air-mail stamps
Define the word: aerophobia,fear of flying or draughts
Define the word: aerophone,musical instrument like a concertina
Define the word: aerophore,instrument used to inflate stillborn child's lungs
Define the word: aeropleustic,of like or pertaining to aerial navigation
Define the word: aerostat,any lighter-than air craft; balloon
Define the word: aerostatics,science of air pressure; art of ballooning
Define the word: aeruginous,of like or pertaining to copper-rust or verdigris
Define the word: aerugo,rust of any metal
Define the word: aesc,letter used in Old English for 'ae'
Define the word: aesopian,conveying meaning only to those in a secret movement
Define the word: aesthesia,sensibility
Define the word: aesthesiogenic,producing or causing a sensation
Define the word: aestheticism,doctrine that beauty is central to other moral principles
Define the word: aestival,of like or pertaining to summer
Define the word: aethrioscope,instrument for measuring temperature variations due to sky conditions
Define the word: aeviternal,everlasting; endless
Define the word: aeviternity,eternal existence
Define the word: afebrile,not suffering from fever
Define the word: affabulation,moral of a fable
Define the word: affeer,to assess; to reduce to a fixed sum
Define the word: afferent,bearing bringing or carrying towards
Define the word: affiance,to trust; to betroth
Define the word: affine,a relation by marriage
Define the word: afflated,inspired
Define the word: afflatus,inspiration; divine impetus
Define the word: afforce,to strengthen a jury by adding skilled people
Define the word: afforest,to cover with forest; to convert into hunting grounds
Define the word: affranchise,to free from slavery or similar obligation
Define the word: affray,an attack or assault; an alarm or fright
Define the word: affrayer,disturber of the peace
Define the word: affreightment,hiring of a vessel
Define the word: affreux,frightening
Define the word: affricate,consonant that begins as a plosive and ends as a fricative
Define the word: affronté,of two heraldic animals facing one another
Define the word: affusion,pouring on; as of baptismal water
Define the word: afore,before
Define the word: afterclap,unexpected damaging or unsettling after-effect
Define the word: afterdeck,deck behind a ship's bridge
Define the word: aftergame,rematch; means employed after first turn of affairs
Define the word: afterguard,men who work the aft sails on the quarterdeck and poop deck
Define the word: afterhand,subsequently
Define the word: afterings,last milk drawn when milking a cow
Define the word: afterpiece,minor piece after a play
Define the word: aftershaft,second shaft coming out of the quill of a feather
Define the word: afterwil,locking of the barn after the cows have been let out
Define the word: agacerie,allurement; coquetry
Define the word: agalactia,failure or inability to produce milk
Define the word: agalloch,eaglewood
Define the word: agamist,one who opposes marriage
Define the word: agamogenesis,reproduction by non-sexual means
Define the word: agape,selfless Christian love; a feast in celebration of such love
Define the word: agapeistic,characterized by Christian love
Define the word: agapet,lover of women
Define the word: agapetae,churchwomen who live platonically with celibate men
Define the word: agapism,ethics of love
Define the word: agastopia,admiration of part of another's body
Define the word: agatewear,type of ceramic resembling agate stone
Define the word: agathism,belief in ultimate triumph of good despite evil means
Define the word: agathodaimon,one's good genius; the good part of one's conscience
Define the word: agelast,one who never laughs
Define the word: agennesic,sterile; impotent
Define the word: agenocratia,opposition to birth control
Define the word: agentive,indicating agent performing an action
Define the word: ageotropic,moving or turning away from the earth
Define the word: agersia,quality of not growing old
Define the word: ageusia,damage to the sense of taste
Define the word: agger,artificial mound or elevation for military use
Define the word: aggerose,in heaps; piled up
Define the word: aggiornamento,modernization of ideas of the Catholic church
Define the word: aggrade,to raise level of a surface through depositing detritus
Define the word: aggrandize,increase power or rank of; make greater
Define the word: aggrate,to gratify or please
Define the word: aggry,type of West African glass beads
Define the word: agio,premium paid on foreign currency exchange
Define the word: agiotage,playing the stock market; speculation
Define the word: agist,to charge with a public burden; to take in to graze for payment
Define the word: agistment,land tax assessed for cattle pasturing
Define the word: aglet,metal point attached to a lace or string
Define the word: agma,"symbol or sound for a velar nasal consonant ""ng"""
Define the word: agminate,grouped
Define the word: agnail,sore corn or hangnail on the toe or foot
Define the word: agname,name over and above the ordinary name and surname
Define the word: agnation,kinship
Define the word: agnize,to acknowledge or confess
Define the word: agnomen,additional name; surname; nickname
Define the word: agnomination,rhetorical use of similar-sounding words for effect
Define the word: agnosic,unable to recognize familiar objects due to brain damage
Define the word: agnosticism,doctrine that we can know nothing beyond material phenomena
Define the word: agnosy,ignorance
Define the word: agoge,tempo or sequence in melody in ancient Greek music
Define the word: agogic,accenting a musical note by slightly dwelling on it
Define the word: agomphosis,looseness in the teeth
Define the word: agone,ago
Define the word: agonic,making no angle
Define the word: agonism,competition; effort; striving
Define the word: agonistes,someone in the grip of inner conflict
Define the word: agonistic,of like or pertaining to or being aggressive or argumentative
Define the word: agonistics,art and theory of prize-fighting
Define the word: agoraphobia,fear of open spaces
Define the word: agouti,tropical rabbit-sized rodent
Define the word: agowilt,sudden sickening and unnecessary fear
Define the word: agraffe,hooked clasp used by masons to hold blocks together
Define the word: agrapha,sayings of Jesus not found in the canonical gospels
Define the word: agraphia,inability to write
Define the word: agravic,having no gravity; pertaining to the condition of zero-gravity
Define the word: agrestic,of the fields; rural; unpolished
Define the word: agriology,the comparative study of primitive peoples
Define the word: agrize,to horrify; to disfigure
Define the word: agrizoiatry,medicine specializing in wild animals
Define the word: agrobiology,study of plant nutrition; soil yields
Define the word: agrology,study of agricultural soils
Define the word: agromania,intense desire to be in open spaces
Define the word: agronomics,study of productivity of land
Define the word: agrostography,writing about grasses
Define the word: agrostology,science or study of grasses
Define the word: agrypnia,insomnia
Define the word: agrypnotic,anything taken to aid wakefulness
Define the word: aguardiente,Spanish or Portuguese brandy
Define the word: agyiophobia,fear of crossing busy streets
Define the word: agynary,lacking female genitals
Define the word: ahimsa,the duty of sparing animal life; non-violence
Define the word: ahull,with sails furled and helm lashed to the lee-side
Define the word: ai,three-toed sloth
Define the word: aichmophobia,fear of sharp or pointed objects
Define the word: aiger,tidal wave occurring in rivers
Define the word: aigrette,a spray of jewels; ornamental feather plume; an egret
Define the word: aiguille,sharp; needle-like peak of rock
Define the word: aileron,flap on airplane wing for lateral balance
Define the word: ailette,plate of armour worn on shoulder
Define the word: ailuromancy,divination by watching cats' movements
Define the word: ailurophilia,love of cats
Define the word: ailurophobia,fear of cats
Define the word: aioli,garlic-flavoured mayonnaise
Define the word: airscrew,aircraft propeller
Define the word: aischrolatry,worship of filth dirt or smut
Define the word: aisling,a vision or dream
Define the word: ait,small island in lake or river
Define the word: aitchbone,rump bone of cattle; rump cut of beef
Define the word: aiué,elderly; senior
Define the word: akeratophorous,not horned
Define the word: akinesia,loss of ability to move
Define the word: ala,membranous outgrowth on a plant or animal
Define the word: alabamine,alternate name for the element astatine
Define the word: alack,expression of sorrow or regret
Define the word: alalia,loss of ability to speak
Define the word: alameda,public walkway between rows of poplar trees
Define the word: alamode,lightweight glossy silk
Define the word: alamort,half-dead; dejected
Define the word: alannah,term of endearment used with one's child
Define the word: alar,of like or pertaining to the wing or shoulder
Define the word: alastrim,mild form of smallpox
Define the word: alate,lately
Define the word: alation,state of having wings; position of wings on a creature
Define the word: alaudine,of like or pertaining to skylarks
Define the word: alb,long white robe worn by priests
Define the word: albarello,cylindrical jar used to hold drugs
Define the word: albata,variety of German silver
Define the word: albe,although; albeit
Define the word: albedo,whiteness as of a celestial object
Define the word: albescent,becoming white; whiteness
Define the word: albicant,whitish; becoming white
Define the word: albificative,able to whiten or be whitened
Define the word: albion,medieval astronomical device for finding positions of planets
Define the word: albocracy,government by white people
Define the word: albolith,white cement formed from magnesia and silica
Define the word: albugineous,like the white of an eye or an egg; white-coloured
Define the word: alcahest,alchemical universal solvent
Define the word: alcatote,silly elf
Define the word: alcine,of like or pertaining to elks; of like or pertaining to auks
Define the word: alcoholometer,instrument for measuring proportion of alcohol in solutions
Define the word: alcovinometer,instrument to measure strength of wine
Define the word: aleatoric,depending on contingencies or chance
Define the word: aleberry,beverage made from ale spices and dried bread
Define the word: alecost,costmary an herb used in flavouring ale
Define the word: alectormancy,divination by sacrificing a rooster
Define the word: alectryomachy,cock-fighting
Define the word: alectryomancy,divination by watching a rooster gather corn kernels
Define the word: alee,on or toward the lee
Define the word: alegar,vinegar made by turning ale sour
Define the word: alembicated,over-refined
Define the word: alepine,mixed wool and silk or mohair and cotton fabric
Define the word: alethiology,study of truth
Define the word: aleuromancy,divination using flour or meal
Define the word: alexia,inability to read
Define the word: alexipharmic,antidote
Define the word: alfet,cauldron of boiling water used during trials by ordeal
Define the word: alforge,wallet or leather bag
Define the word: algedonics,science of pleasure and pain
Define the word: algefacient,cooling
Define the word: algetic,causing or producing pain
Define the word: algicide,killer of algae
Define the word: algid,cold; chilly
Define the word: alginuresis,painful urination
Define the word: algolagnia,sexual pleasure derived from inflicting pain
Define the word: algology,study of algae
Define the word: algophobia,fear of pain
Define the word: algor,coldness; shivering fit
Define the word: algraphy,art of printing from aluminum plates
Define the word: alible,nourishing
Define the word: alicorn,mythical wavy-horned bull often used as heraldic device
Define the word: alidade,revolving index on astrolabe or other instrument for reading gradations
Define the word: alieniloquy,speech on subjects other than the matter at hand; off-topic speech
Define the word: aliform,wing-shaped
Define the word: aligerous,winged
Define the word: aliicide,killing of someone other than oneself; murder
Define the word: aliped,having wings on the feet
Define the word: aliphatic,of like or pertaining to fat or fats in general
Define the word: aliquant,number dividing into another with a remainder
Define the word: aliquot,number dividing into another without leaving a remainder
Define the word: aliter,requiring a different law to be applied; it is otherwise; in other words
Define the word: aliunde,from elsewhere
Define the word: alk,sap or resin from turpentine trees
Define the word: alkalimeter,instrument for measuring strength of alkalines
Define the word: alkanet,reddish plant-based dye
Define the word: allantiasis,food poisoning resulting from inadequate preservation
Define the word: allantoid,shaped like a sausage
Define the word: allative,indicating movement towards
Define the word: allemain,enormous pudding out of which acrobats leap
Define the word: allemande,courtly baroque dance in which the arms are interlaced
Define the word: alliaceous,of like or pertaining to garlic; garlicky
Define the word: allicient,attracting something else
Define the word: allision,intentional collision of two ships
Define the word: allocatur,amount allowed for costs
Define the word: allochthonous,formed or produced elsewhere or externally
Define the word: allodic,not subject to a superior
Define the word: allogamy,cross-fertilization
Define the word: allogeneous,different
Define the word: allography,writing another individual's signature
Define the word: allolalia,speech disorder featuring randomly spoken words
Define the word: allonge,paper attached to commercial bill requiring signatures
Define the word: allonym,other person's name used by an author
Define the word: alloquy,speaking to another or many others; an address
Define the word: allotheism,belief in or worship of strange gods
Define the word: allotriophagy,craving for strange foods
Define the word: allotropy,of an element having more than one form
Define the word: alluvion,effect of water impacting on shoreline
Define the word: allwhere,elsewhere; everywhere
Define the word: almacantar,circle of altitude parallel to the horizon
Define the word: almagest,textbook or handbook especially dealing with astronomy
Define the word: almandine,violet-coloured garnet
Define the word: almoner,giver of alms; social worker in a hospital
Define the word: almuce,cloth or fur hood
Define the word: alnager,inspector of cloth
Define the word: alogism,illogical statement
Define the word: alomancy,divination using salt
Define the word: alopecia,baldness; hair loss
Define the word: alopecoid,of or resembling a fox
Define the word: alow,below
Define the word: alpaca,fine wool made from alpaca hair
Define the word: alpenglow,reddish glow appearing at sunrise or sunset in mountains
Define the word: alpenstocker,mountain climber
Define the word: alpestrine,of like or pertaining to alpine regions
Define the word: alphenic,sugary candy used in medicine
Define the word: alphitomancy,divination using loaves of barley
Define the word: alphonsin,instrument used to extract bullets from bodies
Define the word: alt,high musical tone
Define the word: altarage,payment to priest for mass; offerings at altar
Define the word: alterity,state of being different
Define the word: alternatim,alternately
Define the word: altiloquence,pompous or high speech
Define the word: altisonant,high-sounding
Define the word: altitonant,thundering on high or loudly
Define the word: altricial,having young requiring care for a lengthy period
Define the word: aludel,pear-shaped pot used in sublimation
Define the word: aluminiferous,bearing aluminum
Define the word: alveary,beehive; area of the ear where wax collects; word-list
Define the word: alveolate,of or like a honeycomb
Define the word: alveromancy,divination using sounds
Define the word: alviducous,purgative
Define the word: alvine,of the belly
Define the word: ama,a Japanese pearl-diver
Define the word: amadelphous,outgoing; gregarious
Define the word: amain,to a high degree; exceedingly; at full speed
Define the word: amanous,lacking hands
Define the word: amanuensis,one employed to write from dictation
Define the word: amaranth,imaginary flower reputed never to fade
Define the word: amaranthine,immortal; undying; deep purple-red colour
Define the word: amasesis,inability to chew
Define the word: amasthenic,focusing light rays to a single point
Define the word: amathophobia,fear of dust
Define the word: amaxophobia,fear of riding in a car
Define the word: ambages,windings; roundabout ways; delays
Define the word: ambeer,juice from chewing tobacco
Define the word: amberjack,spiny-finned Atlantic sport fish
Define the word: ambiloquous,using dubious or ambiguous expressions
Define the word: ambisinistrous,awkward in the use of both hands
Define the word: ambit,circuit; scope; compass; confines
Define the word: ambo,early Christian raised reading desk or pulpit
Define the word: ambry,recess for church vessels; cupboard or niche
Define the word: ambsace,bad luck; a low score
Define the word: ambulatory,aisle down the east end of a church
Define the word: ambulomancy,divination by taking a walk
Define the word: ambulophobia,fear of walking
Define the word: ambustion,burn or scald
Define the word: amende,fine or reparation paid
Define the word: ament,a person who fails to develop mentally
Define the word: amerce,to fine; to deprive; to punish
Define the word: ametropia,abnormal optical refraction
Define the word: amice,strip of fine linen worn as cloak or wrap by priest at mass
Define the word: amicicide,murder of a friend
Define the word: amidmost,in the very middle
Define the word: amidships,midway between the bow and stern of a ship
Define the word: ammeter,instrument for measuring electrical current
Define the word: ammophilous,sand-loving; preferring to dwell in sand
Define the word: amnicolist,one who lives near a river
Define the word: amniomancy,divination by examining afterbirth
Define the word: amorce,percussion cap for a toy pistol
Define the word: amoret,love sonnet or song
Define the word: amoretto,a cherub or spirit of love
Define the word: ampelidious,of like or pertaining to vines
Define the word: ampelography,scientific description of the vine
Define the word: ampere,unit for measuring amount of electrical current
Define the word: amphibiolith,fossilized amphibian
Define the word: amphibolic,able to turn both backwards and forwards; double-jointed
